Postnummer;Poststed;Kommunenummer
1400;SKI;0213
1401;SKI;0213
1402;SKI;0213
1403;LANGHUS;0213
1404;SIGGERUD;0213
1405;LANGHUS;0213
1406;SKI;0213
1407;VINTERBRO;0214
1408;KRÅKSTAD;0213
1409;SKOTBU;0213
1410;KOLBOTN;0217
1411;KOLBOTN;0217
1412;SOFIEMYR;0217
1413;TÅRNÅSEN;0217
1414;TROLLÅSEN;0217
1415;OPPEGÅRD;0217
1416;OPPEGÅRD;0217
1417;SOFIEMYR;0217
1418;KOLBOTN;0217
1419;OPPEGÅRD;0217
1420;SVARTSKOG;0217
1421;TROLLÅSEN;0217
1422;Svartskog;0217
1429;VINTERBRO;0214
1430;ÅS;0214
1431;ÅS;0214
1432;ÅS;0214
1434;Holstad;0214
1440;DRØBAK;0215
1441;DRØBAK;0215
1442;DRØBAK;0215
1443;DRØBAK;0215
1444;DRØBAK;0215
1445;DRØBAK;0215
1446;DRØBAK;0215
1447;DRØBAK;0215
1448;DRØBAK;0215
1449;DRØBAK;0215
1450;NESODDTANGEN;0216
1451;NESODDTANGEN;0216
1453;BJØRNEMYR;0216
1454;FAGERSTRAND;0216
1455;NORDRE FROGN;0215
1457;FAGERSTRAND;0216
1458;FJELLSTRAND;0216
1460;Spro;0217
1468;FINSTADJORDET;0230
1469;RASTA;0230
1470;LØRENSKOG;0230
1471;LØRENSKOG;0230
1472;FJELLHAMAR;0230
1473;LØRENSKOG;0230
1474;NORDBYHAGEN;0230
1475;FINSTADJORDET;0230
1476;RASTA;0230
1477;FJELLHAMAR;0230
1478;LØRENSKOG;0230
1479;KURLAND;0230
1480;SLATTUM;0233
1481;HAGAN;0233
1482;NITTEDAL;0233
1483;HAGAN;0233
1484;HAKADAL;0233
1485;HAKADAL;0233
1486;NITTEDAL;0233
1487;HAKADAL;0233
1488;HAKADAL;0233
1500;Moss;0104
1501;MOSS;0104
1502;MOSS;0104
1503;MOSS;0104
1504;MOSS;0104
1506;MOSS;0104
1508;MOSS;0104
1509;MOSS;0104
1510;MOSS;0104
1511;MOSS;0104
1512;MOSS;0104
1513;MOSS;0104
1514;MOSS;0104
1515;MOSS;0104
1516;MOSS;0104
1517;MOSS;0104
1518;MOSS;0104
1519;MOSS;0104
1520;MOSS;0136
1521;MOSS;0136
1522;MOSS;0136
1523;MOSS;0104
1524;MOSS;0104
1525;MOSS;0136
1526;MOSS;0136
1528;MOSS;0136
1529;MOSS;0136
1530;MOSS;0104
1531;MOSS;0104
1532;MOSS;0104
1533;MOSS;0104
1534;MOSS;0104
1535;MOSS;0104
1536;MOSS;0104
1537;MOSS;0104
1538;MOSS;0104
1539;MOSS;0104
1540;VESTBY;0211
1541;VESTBY;0211
1545;HVITSTEN;0211
1550;HØLEN;0211
1555;SON;0211
1556;SON;0211
1560;LARKOLLEN;0136
1561;LARKOLLEN;0136
1570;DILLING;0136
1580;RYGGE;0136
1581;RYGGE;0136
1590;RYGGE;0136
1591;SPERREBOTN;0137
1592;VÅLER I ØSTFOLD;0137
1593;SVINNDAL;0137
1596;MOSS;0104
1597;MOSS;0104
1598;MOSS;0104
1599;MOSS;0104
1600;Fredrikstad;0105
1601;FREDRIKSTAD;0106
1602;FREDRIKSTAD;0106
1604;FREDRIKSTAD;0106
1605;FREDRIKSTAD;0106
1606;FREDRIKSTAD;0106
1607;FREDRIKSTAD;0106
1608;FREDRIKSTAD;0106
1609;FREDRIKSTAD;0106
1610;FREDRIKSTAD;0106
1612;FREDRIKSTAD;0106
1613;FREDRIKSTAD;0106
1614;FREDRIKSTAD;0106
1615;FREDRIKSTAD;0106
1616;FREDRIKSTAD;0106
1617;FREDRIKSTAD;0106
1618;FREDRIKSTAD;0106
1619;FREDRIKSTAD;0106
1620;GRESSVIK;0106
1621;GRESSVIK;0106
1624;GRESSVIK;0106
1625;MANSTAD;0106
1626;MANSTAD;0106
1628;ENGELSVIKEN;0106
1629;GAMLE FREDRIKSTAD;0106
1630;GAMLE FREDRIKSTAD;0106
1632;GAMLE FREDRIKSTAD;0106
1633;GAMLE FREDRIKSTAD;0106
1634;GAMLE FREDRIKSTAD;0106
1636;GAMLE FREDRIKSTAD;0106
1637;GAMLE FREDRIKSTAD;0106
1638;GAMLE FREDRIKSTAD;0106
1639;GAMLE FREDRIKSTAD;0106
1640;RÅDE;0135
1641;RÅDE;0135
1642;SALTNES;0135
1650;SELLEBAKK;0106
1651;SELLEBAKK;0106
1653;SELLEBAKK;0106
1654;SELLEBAKK;0106
1655;SELLEBAKK;0106
1657;TORP;0106
1658;TORP;0106
1659;TORP;0106
1661;ROLVSØY;0106
1662;ROLVSØY;0106
1663;ROLVSØY;0106
1664;ROLVSØY;0106
1665;ROLVSØY;0106
1666;ROLVSØY;0106
1667;ROLVSØY;0106
1670;KRÅKERØY;0106
1671;KRÅKERØY;0106
1672;KRÅKERØY;0106
1673;KRÅKERØY;0106
1674;Vesterøy;0111
1675;KRÅKERØY;0106
1676;KRÅKERØY;0106
1678;KRÅKERØY;0106
1679;KRÅKERØY;0106
1680;SKJÆRHALDEN;0111
1682;SKJÆRHALDEN;0111
1683;VESTERØY;0111
1684;VESTERØY;0111
1690;HERFØL;0111
1692;NEDGÅRDEN;0111
1700;Sarpsborg;0105
1701;SARPSBORG;0105
1702;SARPSBORG;0105
1703;SARPSBORG;0105
1704;SARPSBORG;0105
1705;SARPSBORG;0105
1706;SARPSBORG;0105
1707;SARPSBORG;0105
1708;SARPSBORG;0105
1709;SARPSBORG;0105
1710;SARPSBORG;0105
1711;SARPSBORG;0105
1712;GRÅLUM;0105
1713;GRÅLUM;0105
1714;GRÅLUM;0105
1715;YVEN;0105
1718;GREÅKER;0105
1719;GREÅKER;0105
1720;GREÅKER;0105
1721;SARPSBORG;0105
1722;SARPSBORG;0105
1723;SARPSBORG;0105
1724;SARPSBORG;0105
1725;SARPSBORG;0105
1726;SARPSBORG;0105
1727;SARPSBORG;0105
1730;ISE;0105
1733;HAFSLUNDSØY;0105
1734;HAFSLUNDSØY;0105
1735;VARTEIG;0105
1738;BORGENHAUGEN;0105
1739;BORGENHAUGEN;0105
1740;BORGENHAUGEN;0105
1742;KLAVESTADHAUGEN;0105
1743;KLAVESTADHAUGEN;0105
1745;SKJEBERG;0105
1746;SKJEBERG;0105
1747;SKJEBERG;0105
1750;Halden;0101
1751;HALDEN;0101
1752;HALDEN;0101
1753;HALDEN;0101
1754;HALDEN;0101
1757;HALDEN;0101
1759;HALDEN;0101
1760;HALDEN;0101
1761;HALDEN;0101
1763;HALDEN;0101
1764;HALDEN;0101
1765;HALDEN;0101
1766;HALDEN;0101
1767;HALDEN;0101
1768;HALDEN;0101
1769;HALDEN;0101
1771;HALDEN;0101
1772;HALDEN;0101
1776;HALDEN;0101
1777;HALDEN;0101
1778;HALDEN;0101
1779;HALDEN;0101
1781;HALDEN;0101
1782;HALDEN;0101
1783;HALDEN;0101
1784;HALDEN;0101
1785;HALDEN;0101
1786;HALDEN;0101
1787;HALDEN;0101
1788;HALDEN;0101
1789;BERG I ØSTFOLD;0101
1790;TISTEDAL;0101
1791;TISTEDAL;0101
1792;TISTEDAL;0101
1793;TISTEDAL;0101
1794;SPONVIKA;0101
1796;KORNSJØ;0101
1798;AREMARK;0118
1799;AREMARK;0118
1800;Askim;0124
1801;ASKIM;0124
1802;ASKIM;0124
1803;ASKIM;0124
1804;SPYDEBERG;0123
1805;TOMTER;0138
1806;SKIPTVET;0127
1807;ASKIM;0124
1808;ASKIM;0124
1809;ASKIM;0124
1811;ASKIM;0124
1812;ASKIM;0124
1813;ASKIM;0124
1814;ASKIM;0124
1815;ASKIM;0124
1816;SKIPTVET;0127
1820;SPYDEBERG;0123
1823;KNAPSTAD;0138
1825;TOMTER;0138
1827;HOBØL;0138
1830;ASKIM;0124
1831;ASKIM;0124
1832;ASKIM;0124
1833;ASKIM;0124
1838;Flateby;0229
1840;Kråkstad;0213
1850;MYSEN;0125
1851;MYSEN;0125
1859;SLITU;0125
1860;TRØGSTAD;0122
1861;TRØGSTAD;0122
1866;BÅSTAD;0122
1867;BÅSTAD;0122
1870;ØRJE;0119
1871;ØRJE;0119
1875;OTTEID;0119
1878;HÆRLAND;0125
1880;EIDSBERG;0125
1890;RAKKESTAD;0128
1891;RAKKESTAD;0128
1892;DEGERNES;0128
1893;DEGERNES;0128
1900;FETSUND;0227
1901;FETSUND;0227
1903;GAN;0227
1910;ENEBAKKNESET;0227
1911;FLATEBY;0229
1912;ENEBAKK;0229
1914;YTRE ENEBAKK;0229
1916;FLATEBY;0229
1917;YTRE ENEBAKK;0229
1920;SØRUMSAND;0226
1921;SØRUMSAND;0226
1923;SØRUM;0226
1924;SØRUM;0226
1925;BLAKER;0226
1926;BLAKER;0226
1927;RÅNÅSFOSS;0226
1928;AULI;0236
1929;AULI;0236
1930;AURSKOG;0221
1931;AURSKOG;0221
1940;BJØRKELANGEN;0221
1941;BJØRKELANGEN;0221
1950;RØMSKOG;0121
1954;SETSKOG;0221
1960;LØKEN;0221
1961;LØKEN;0221
1963;FOSSER;0221
1970;HEMNES;0221
1971;HEMNES;0221
2000;LILLESTRØM;0231
2001;LILLESTRØM;0231
2003;LILLESTRØM;0231
2004;LILLESTRØM;0231
2005;RÆLINGEN;0228
2006;LØVENSTAD;0228
2007;KJELLER;0231
2008;FJERDINGBY;0228
2009;NORDBY;0228
2010;STRØMMEN;0231
2011;STRØMMEN;0231
2012;LILLESTRØM;0231
2013;SKJETTEN;0231
2014;BLYSTADLIA;0228
2015;LEIRSUND;0231
2016;FROGNER;0226
2017;FROGNER;0226
2018;LØVENSTAD;0228
2019;SKEDSMOKORSET;0231
2020;SKEDSMOKORSET;0231
2021;SKEDSMOKORSET;0231
2022;GJERDRUM;0234
2023;SKEDSMOKORSET;0231
2024;GJERDRUM;0234
2025;FJERDINGBY;0228
2026;SKJETTEN;0231
2027;KJELLER;0231
2028;LILLESTRØM;0231
2030;NANNESTAD;0238
2031;NANNESTAD;0238
2032;MAURA;0238
2033;ÅSGREINA;0238
2034;HOLTER;0238
2035;HOLTER;0238
2036;MAURA;0238
2040;KLØFTA;0235
2041;KLØFTA;0235
2045;Leirsund;0231
2050;JESSHEIM;0235
2051;JESSHEIM;0235
2052;JESSHEIM;0235
2053;JESSHEIM;0235
2054;MOGREINA;0235
2055;NORDKISA;0235
2056;ALGARHEIM;0235
2057;JESSHEIM;0235
2058;SESSVOLLMOEN;0235
2060;GARDERMOEN;0235
2061;GARDERMOEN;0235
2062;JESSHEIM;0235
2063;JESSHEIM;0235
2066;JESSHEIM;0235
2067;JESSHEIM;0235
2068;JESSHEIM;0235
2069;JESSHEIM;0235
2070;RÅHOLT;0237
2071;RÅHOLT;0237
2072;DAL;0237
2073;BØN;0237
2074;EIDSVOLL VERK;0237
2076;DAL;0237
